"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","origin","nonnative","comments"
"Arctagrostis.latifolia","Polar Grass","Arctagrostis latifolia","Species","ArctagrostisLatifolia",99004900,14,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arctium","Burdocks","Arctium","Genus","Arctium",99004529,15,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Arctostaphylos","Kinnickinnicks","Arctostaphylos","Genus","Arctostaphylos",99004658,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arctostaphylos.uva.ursi","Common Bearberry","Arctostaphylos uva-ursi","Species","ArctostaphylosUvaursi",99004659,732,276,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Arctous.rubra","Alpine Bearberry","Arctous rubra","Species","ArctousRubra",99004661,200,67,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Arethusa.bulbosa","Dragon","Arethusa bulbosa","Species","ArethusaBulbosa",99003201,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arnica","Arnicas","Arnica","Genus","Arnica",99004533,13,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Arnica.angustifolia","Alpine Arnica","Arnica angustifolia","Species","ArnicaAngustifolia",99004537,8,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arnica.chamissonis","Leafy Arnica","Arnica chamissonis","Species","ArnicaChamissonis",99004534,66,32,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Arnica.cordifolia","Heart-Leaved Arnica","Arnica cordifolia","Species","ArnicaCordifolia",99004538,267,95,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Arnica.fulgens","Shining Arnica","Arnica fulgens","Species","ArnicaFulgens",99004535,114,37,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Arnica.latifolia","Mountain Arnica","Arnica latifolia","Species","ArnicaLatifolia",99004539,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arnica.lonchophylla","Spear-Leaved Arnica","Arnica lonchophylla","Species","ArnicaLonchophylla",99004540,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arnica.mollis","Hairy Arnica","Arnica mollis","Species","ArnicaMollis",99004542,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arnica.sororia","Twin Arnica","Arnica sororia","Species","ArnicaSororia",99004536,38,16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Artemisia.absinthium","Absinthe Wormwood","Artemisia absinthium","Species","ArtemisiaAbsinthium",99004381,43,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Exotic",TRUE,NA
"Artemisia.biennis","Biennial Sagewort","Artemisia biennis","Species","ArtemisiaBiennis",99004382,80,40,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Artemisia.campestris","Plains Wormwood","Artemisia campestris","Species","ArtemisiaCampestris",99004383,107,47,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Artemisia.cana","Silver Sagebrush","Artemisia cana","Species","ArtemisiaCana",99004384,287,92,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Artemisia.dracunculus","Dragonwort","Artemisia dracunculus","Species","ArtemisiaDracunculus",99004385,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Artemisia.frigida","Pasture Sagewort","Artemisia frigida","Species","ArtemisiaFrigida",99004386,891,261,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Artemisia.longifolia","Long Leaved Sagewort","Artemisia longifolia","Species","ArtemisiaLongifolia",99004387,17,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Artemisia.ludoviciana","Prairie Sagewort","Artemisia ludoviciana","Species","ArtemisiaLudoviciana",99004388,641,231,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Artemisia.norvegica","Mountain Sagewort","Artemisia norvegica","Species","ArtemisiaNorvegica",99004390,7,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Artemisia.schmidtiana","Silver mound","Artemisia schmidtiana","Species","ArtemisiaSchmidtiana",99003109,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Tragopogon.dubius",NA,"Tragopogon dubius","Species","AruncusDioicus",99003610,761,256,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Exotic",TRUE,NA
"Asclepias.ovalifolia","Low Milkweed","Asclepias ovalifolia","Species","AsclepiasOvalifolia",99002778,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Asclepias.speciosa","Showy Milkweed","Asclepias speciosa","Species","AsclepiasSpeciosa",99002779,6,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Asparagus.officinalis","Common Asparagus","Asparagus officinalis","Species","AsparagusOfficinalis",99005001,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Aster","Asters","Aster","Genus","Aster",99004544,28,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Aster.alpinus","Alpine Aster","Aster alpinus","Species","AsterAlpinus",99004545,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus","Milk Vetches","Astragalus","Genus","Astragalus",99003713,99,49,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,NA
"Astragalus.agrestis","Purple Milk Vetch","Astragalus agrestis","Species","AstragalusAgrestis",99003730,159,64,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
