"sppid","species","scinam","rank","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments","tsnid"
"HeterozetesAquaticus",NA,"Heterozetes aquaticus","Species",15,15,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,741879
"HoplophthiracarusIllinoisensis",NA,"Hoplophthiracarus illinoisensis","Species",58,39,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000209
"HydrozetesOctosetosus",NA,"Hydrozetes octosetosus","Species",6,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99003034
"HydrozetesSp1DEW",NA,"Hydrozetes sp. 1 DEW","Species",7,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000089
"HydrozetesSp2DEW",NA,"Hydrozetes sp. 2 DEW","Species",15,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000088
"HydrozetesSp3DEW",NA,"Hydrozetes sp. 3 DEW","Species",5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000244
"HydrozetesSpERAN",NA,"Hydrozetes sp. E RAN","Species",69,55,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000028
"HypochthoniusLuteus",NA,"Hypochthonius luteus","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,735010
"HypochthoniusRufulus",NA,"Hypochthonius rufulus","Species",135,103,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,735012
"IugoribatesGracilis",NA,"Iugoribates gracilis","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,742179
"JacotellaQuadricaudicula",NA,"Jacotella quadricaudicula","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000180
"JornadiaLarreae",NA,"Jornadia larreae","Species",9,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,742449
"JoshuellaAgrosticula",NA,"Joshuella agrosticula","Species",11,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99000182
"LanibelbaSp1DEW",NA,"Lanibelba sp. 1 DEW","Species",41,31,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,99000031
"LauroppiaSp3LML",NA,"Lauroppia sp. 3 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005343
"LepidozetesSingularis",NA,"Lepidozetes singularis","Species",13,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,741710
"LepidozetesSp1DEW",NA,"Lepidozetes sp. 1 DEW","Species",3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000090
"LepidozetesSp2LML",NA,"Lepidozetes sp. 2 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005344
"LiacarusAcutidens",NA,"Liacarus acutidens","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,738388
"LimnozetesCanadensis",NA,"Limnozetes canadensis","Species",15,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000032
"LimnozetesSp1LML",NA,"Limnozetes sp. 1 LML","Species",2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005345
"LucoppiaBurrowsii",NA,"Lucoppia burrowsii","Species",27,25,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000225
"MainothrusBadius",NA,"Mainothrus badius","Species",41,29,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,736677
"MalaconothrusMollisetosus",NA,"Malaconothrus mollisetosus","Species",22,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000065
"MesotritiaNuda",NA,"Mesotritia nuda","Species",4,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,735675
"MoritzoppiaSp1DEW",NA,"Moritzoppia sp. 1 DEW","Species",4,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000091
"MucronothrusNasalis",NA,"Mucronothrus nasalis","Species",19,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,736679
"MultioppiaSp1DEW",NA,"Multioppia sp. 1 DEW","Species",15,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000034
"MycobatesAltus",NA,"Mycobates altus","Species",6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,742281
"MycobatesDryas",NA,"Mycobates dryas","Species",4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000197
"MycobatesIncurvatus",NA,"Mycobates incurvatus","Species",144,110,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000198
"MycobatesPerates",NA,"Mycobates perates","Species",41,33,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000195
"NanhermanniaSp1DEW",NA,"Nanhermannia sp. 1 DEW","Species",419,251,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000035
"NeogymnobatesLuteus",NA,"Neogymnobates luteus","Species",60,49,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,742088
"NeogymnobatesSp1DEW",NA,"Neogymnobates sp. 1 DEW","Species",17,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000012
"NeonothrusHumicola",NA,"Neonothrus humicola","Species",166,131,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,96796475
"NeoribatesAurantiacus",NA,"Neoribates aurantiacus","Species",43,34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,743592
"NeoribatesSp1DEW",NA,"Neoribates sp. 1 DEW","Species",35,33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002084
"NeoribatesSp2DEW",NA,"Neoribates sp. 2 DEW","Species",50,40,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002085
"NothrusAnauniensis",NA,"Nothrus anauniensis","Species",62,47,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,736859
"NothrusBorussicus",NA,"Nothrus borussicus","Species",65,59,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,736868
"NothrusParvus",NA,"Nothrus parvus","Species",7,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000092
"NothrusPratensis",NA,"Nothrus pratensis","Species",212,126,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,736910
"NothrusSpBDEW",NA,"Nothrus sp. B DEW","Species",74,55,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000036
"OppiaSp1DEW",NA,"Oppia sp. 1 DEW","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000093
"OppiaSp2LML",NA,"Oppia sp. 2 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005346
"OppiellaSp2DEW",NA,"Oppiella sp. 2 DEW","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005347
"OppiellaSp3DEW",NA,"Oppiella sp. 3 DEW","Species",10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000094
"OppiellaSp4LML",NA,"Oppiella sp. 4 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005348
"OppiellaWashburni",NA,"Oppiella washburni","Species",35,29,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000066
"OribatellaAbmi",NA,"Oribatella abmi","Species",23,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99000247
"OribatellaBanksi",NA,"Oribatella banksi","Species",9,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000241
"OribatellaCanadensis",NA,"Oribatella canadensis","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005349
"OribatellaEwingi",NA,"Oribatella ewingi","Species",6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99001379
"OribatellaJacoti",NA,"Oribatella jacoti","Species",32,28,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99002081
"OribatellaPawnee",NA,"Oribatella pawnee","Species",32,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99000095
"OribatellaReticulatoides",NA,"Oribatella reticulatoides","Species",14,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99002082
"OribatellaYukonensis",NA,"Oribatella yukonensis","Species",17,17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000038
"OribatodesMirabilis",NA,"Oribatodes mirabilis","Species",355,208,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,737843
"OribatulaSp1DEW",NA,"Oribatula sp. 1 DEW","Subspecies",503,275,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000040
"OribatulaSp2LML",NA,"Oribatula sp. 2 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005350
"OribatulaSp3LML",NA,"Oribatula sp. 3 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005351
"ParachipteriaBella",NA,"Parachipteria bella","Species",8,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000067
"ParachipteriaSp1DEW",NA,"Parachipteria sp. 1 DEW","Species",7,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000096
"ParaleiusLeontonycha",NA,"Paraleius leontonycha","Species",5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99002083
"ParapyroppiaSp1DEW",NA,"Parapyroppia sp. 1 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000041
"PelopsisBifurcatus",NA,"Pelopsis bifurcatus","Species",24,21,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000189
"PeloptulusSp1DEW",NA,"Peloptulus sp. 1 DEW","Species",391,220,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000042
