"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Dicranella.subulata",NA,"Dicranella subulata","Species","DicranellaSubulata",99001195,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranella.varia",NA,"Dicranella varia","Species","DicranellaVaria",99001196,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.acutifolium",NA,"Dicranum acutifolium","Species","DicranumAcutifolium",99000326,50,42,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Dicranum.bonjeanii",NA,"Dicranum bonjeanii","Species","DicranumBonjeanii",99000327,6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.brevifolium",NA,"Dicranum brevifolium","Species","DicranumBrevifolium",99000325,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.elongatum",NA,"Dicranum elongatum","Species","DicranumElongatum",99000328,80,54,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Dicranum.flagellare",NA,"Dicranum flagellare","Species","DicranumFlagellare",99000329,457,314,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Dicranum.fragilifolium",NA,"Dicranum fragilifolium","Species","DicranumFragilifolium",99000330,293,203,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Dicranum.fuscescens",NA,"Dicranum fuscescens","Species","DicranumFuscescens",99000331,516,330,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Dicranum.groenlandicum",NA,"Dicranum groenlandicum","Species","DicranumGroenlandicum",99001090,22,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.montanum",NA,"Dicranum montanum","Species","DicranumMontanum",99000332,25,21,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Dicranum.muehlenbeckii",NA,"Dicranum muehlenbeckii","Species","DicranumMuehlenbeckii",99000333,12,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.ontariense",NA,"Dicranum ontariense","Species","DicranumOntariense",99001092,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.polysetum",NA,"Dicranum polysetum","Species","DicranumPolysetum",99000334,755,449,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Dicranum.scoparium",NA,"Dicranum scoparium","Species","DicranumScoparium",99000335,255,187,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Dicranum.spadiceum",NA,"Dicranum spadiceum","Species","DicranumSpadiceum",99000336,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.tauricum",NA,"Dicranum tauricum","Species","DicranumTauricum",99001094,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranum.undulatum",NA,"Dicranum undulatum","Species","DicranumUndulatum",98286732,980,502,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Didymodon.fallax",NA,"Didymodon fallax","Species","DidymodonFallax",99001096,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Didymodon.rigidulus",NA,"Didymodon rigidulus","Species","DidymodonRigidulus",99001099,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Distichium.capillaceum",NA,"Distichium capillaceum","Species","DistichiumCapillaceum",99001106,31,23,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Distichium.inclinatum",NA,"Distichium inclinatum","Species","DistichiumInclinatum",99001107,5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Ditrichum.flexicaule",NA,"Ditrichum flexicaule","Species","DitrichumFlexicaule",99000322,37,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Ditrichum.gracile",NA,"Ditrichum gracile","Species","DitrichumGracile",99001383,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Drepanocladus.aduncus",NA,"Drepanocladus aduncus","Species","DrepanocladusAduncus",99001109,528,350,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Drepanocladus.polygamus",NA,"Drepanocladus polygamus","Species","DrepanocladusPolygamus",99001262,45,38,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Drepanocladus.sordidus",NA,"Drepanocladus sordidus","Species","DrepanocladusSordidus",99000725,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Encalypta.ciliata",NA,"Encalypta ciliata","Species","EncalyptaCiliata",99001117,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
