"sppid","species","scinam","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest"
"SongSparrow","Song Sparrow","Melospiza melodia",9461,TRUE,TRUE,8692,7850,8692,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SpruceGrouse","Spruce Grouse","Falcipennis canadensis",39,FALSE,FALSE,15,0,15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
"SpraguesPipit","Sprague's Pipit","Anthus spragueii",4348,TRUE,TRUE,348,3879,3879,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SpottedSandpiper","Spotted Sandpiper","Actitis macularius",1289,TRUE,TRUE,867,550,867,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SpottedTowhee","Spotted Towhee","Pipilo maculatus",36,FALSE,TRUE,12,36,36,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"SharpshinnedHawk","Sharp-shinned Hawk","Accipiter striatus",62,TRUE,TRUE,47,34,47,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
"SharptailedGrouse","Sharp-tailed Grouse","Tympanuchus phasianellus",256,FALSE,TRUE,20,221,221,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"SwainsonsHawk","Swainson's Hawk","Buteo swainsoni",1871,TRUE,TRUE,317,1850,1850,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SwampSparrow","Swamp Sparrow","Melospiza georgiana",1789,TRUE,TRUE,1242,325,1242,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"SwainsonsThrush","Swainson's Thrush","Catharus ustulatus",17208,TRUE,TRUE,13656,470,13656,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"TennesseeWarbler","Tennessee Warbler","Oreothlypis peregrina",18271,TRUE,TRUE,13989,450,13989,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"TownsendsSolitaire","Townsend's Solitaire","Myadestes townsendi",141,TRUE,FALSE,141,0,141,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
"TreeSwallow","Tree Swallow","Tachycineta bicolor",6485,TRUE,TRUE,5378,4715,5378,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"TrumpeterSwan","Trumpeter Swan","Cygnus buccinator",12,FALSE,FALSE,11,3,11,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"TundraSwan","Tundra Swan","Cygnus columbianus",45,FALSE,FALSE,5,0,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
"TurkeyVulture","Turkey Vulture","Cathartes aura",6,FALSE,FALSE,6,4,6,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"UplandSandpiper","Upland Sandpiper","Bartramia longicauda",692,TRUE,TRUE,60,596,596,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"VariedThrush","Varied Thrush","Ixoreus naevius",2034,TRUE,FALSE,1526,1,1526,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
"Veery","Veery","Catharus fuscescens",169,TRUE,TRUE,167,56,167,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"VesperSparrow","Vesper Sparrow","Pooecetes gramineus",18264,TRUE,TRUE,5472,17085,17085,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"VioletgreenSwallow","Violet-green Swallow","Tachycineta thalassina",40,FALSE,FALSE,24,20,24,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"VirginiaRail","Virginia Rail","Rallus limicola",11,FALSE,FALSE,3,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
"WarblingVireo","Warbling Vireo","Vireo gilvus",5964,TRUE,TRUE,5531,1991,5531,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"WhitebreastedNuthatch","White-breasted Nuthatch","Sitta carolinensis",232,TRUE,TRUE,205,72,205,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"WhitecrownedSparrow","White-crowned Sparrow","Zonotrichia leucophrys",1350,TRUE,TRUE,1253,146,1253,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WesternGrebe","Western Grebe","Aechmophorus occidentalis",48,TRUE,TRUE,32,35,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"WesternKingbird","Western Kingbird","Tyrannus verticalis",826,FALSE,TRUE,19,822,822,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"WesternMeadowlark","Western Meadowlark","Sturnella neglecta",20584,TRUE,TRUE,2439,19414,19414,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WesternTanager","Western Tanager","Piranga ludoviciana",3112,TRUE,TRUE,2450,125,2450,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"WesternWoodPewee","Western Wood-Pewee","Contopus sordidulus",2152,TRUE,TRUE,1812,983,1812,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"WillowFlycatcher","Willow Flycatcher","Empidonax traillii",117,TRUE,TRUE,110,29,110,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"Willet","Willet","Tringa semipalmata",3020,TRUE,TRUE,384,2761,2761,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WilsonsPhalarope","Wilson's Phalarope","Phalaropus tricolor",601,TRUE,TRUE,87,563,563,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
