sppid,species,scinam,tsnid,ndet,nsite,map.det,useavail.north,veghf.north,useavail.south,soilhf.south,map.pred,comments,spp_code
Collema.coccophorum,NA,Collema coccophorum,99002900,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CollemaCoccophorum
Collema.crispum.s.l.,NA,Collema crispum s.l.,99002901,41,34,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,CollemaCrispum
Collema.furfuraceum,NA,Collema furfuraceum,99002306,11,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CollemaFurfuraceum
Collema.fuscovirens,NA,Collema fuscovirens,99002307,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CollemaFuscovirens
Collema.multipartitum,NA,Collema multipartitum,99002903,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CollemaMultipartitum
Collema.tenax.grp.,NA,Collema tenax grp.,99002308,26,21,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,CollemaTenax
Cyphelium.tigillare,NA,Cyphelium tigillare,99002522,14,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CypheliumTigillare
Dactylina.beringica,NA,Dactylina beringica,99002907,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,DactylinaBeringica
Dactylina.ramulosa,NA,Dactylina ramulosa,99002908,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,DactylinaRamulosa
Dermatocarpon.luridum,NA,Dermatocarpon luridum,99002909,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,DermatocarponLuridum
Evernia.mesomorpha,NA,Evernia mesomorpha,99002232,2527,951,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Evernia
Flavocetraria.cucullata,NA,Flavocetraria cucullata,98289957,26,23,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FlavocetrariaCucullata
Flavocetraria.nivalis,NA,Flavocetraria nivalis,98289958,209,110,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FlavocetrariaNivalis
Flavopunctelia.flaventior,NA,Flavopunctelia flaventior,91139741,158,99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FlavopuncteliaFlaventior
Flavopunctelia.soredica,NA,Flavopunctelia soredica,98289990,29,19,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FlavopuncteliaSoredica
Fuscopannaria.cyanolepra,NA,Fuscopannaria cyanolepra,99002914,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FuscopannariaCyanolepra
Fuscopannaria.praetermissa,NA,Fuscopannaria praetermissa,99002915,6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FuscopannariaPraetermissa
Heterodermia.galactophylla.japonica.speciosa,NA,Heterodermia galactophylla/japonica/speciosa,99002312,74,57,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Heterodermia
Hypocenomyce.anthracophila,NA,Hypocenomyce anthracophila,99004861,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,HypocenomyceAnthracophila
Hypocenomyce.oligospora,NA,Hypocenomyce oligospora,99002919,24,19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,HypocenomyceOligospora
Hypocenomyce.scalaris,NA,Hypocenomyce scalaris,99002316,28,24,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,HypocenomyceScalaris
Hypogymnia.austerodes.bitteri.dichroma.protea.verruculosa,NA,Hypogymnia austerodes/bitteri/dichroma/protea/verruculosa,99002234,120,73,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,HypogymniaAusterodes
Hypogymnia.enteromorpha,NA,Hypogymnia enteromorpha,99002167,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaEnteromorpha
Hypogymnia.imshaugii,NA,Hypogymnia imshaugii,99002920,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaImshaugii
Hypogymnia.incurvoides,NA,Hypogymnia incurvoides,99002527,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaIncurvoides
Hypogymnia.occidentalis,NA,Hypogymnia occidentalis,99002236,12,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaOccidentalis
Hypogymnia.physodes,NA,Hypogymnia physodes,99002237,2397,915,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,HypogymniaPhysodes
Hypogymnia.protea,NA,Hypogymnia protea,99002528,34,24,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,HypogymniaProtea
Hypogymnia.rugosa,NA,Hypogymnia rugosa,99002922,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaRugosa
Hypogymnia.subobscura,NA,Hypogymnia subobscura,99002923,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaSubobscura
Hypogymnia.tubulosa,NA,Hypogymnia tubulosa,99002238,89,76,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,HypogymniaTubulosa
Hypogymnia.vittata,NA,Hypogymnia vittata,99002169,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaVittata
Hypogymnia.wilfiana,NA,Hypogymnia wilfiana,99002168,27,17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,HypogymniaWilfiana
Imshaugia.aleurites,NA,Imshaugia aleurites,99002240,924,439,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,ImshaugiaAleurites
Imshaugia.placorodia,NA,Imshaugia placorodia,99002241,164,87,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,ImshaugiaPlacorodia
Kaernefeltia.merrillii,NA,Kaernefeltia merrillii,91408352,53,30,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,KaernefeltiaMerrillii
Lasallia.pensylvanica,NA,Lasallia pensylvanica,99002925,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,LasalliaPensylvanica
Lecanorales,NA,Lecanorales,99002197,5,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Lecanorales
Leptogium.intermedium,NA,Leptogium intermedium,99002927,31,29,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,LeptogiumIntermedium
Leptogium.lichenoides.pulvinatum,NA,Leptogium lichenoides/pulvinatum,99002928,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,LeptogiumLichenoides
Leptogium.pseudofurfuraceum,NA,Leptogium pseudofurfuraceum,99002929,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,LeptogiumPseudofurfuraceum
Leptogium.saturninum.grp.,NA,Leptogium saturninum grp.,99002926,93,76,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,LeptogiumBurnetiae
Leptogium.subtile.grp.,NA,Leptogium subtile grp.,99003158,68,58,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,LeptogiumNanum
Leptogium.tenuissimum,NA,Leptogium tenuissimum,99002930,92,80,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,LeptogiumTenuissimum
Leptogium.teretiusculum,NA,Leptogium teretiusculum,99002931,24,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,LeptogiumTeretiusculum
Letharia.columbiana,NA,Letharia columbiana,99002932,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,LethariaColumbiana
Letharia.vulpina,NA,Letharia vulpina,99002170,47,25,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,LethariaVulpina
Lichenomphalia.hudsoniana,NA,Lichenomphalia hudsoniana,99004864,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,LichenomphaliaHudsoniana
Lichenomphalia.umbellifera,NA,Lichenomphalia umbellifera,99002530,8,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,LichenomphaliaUmbellifera
Lobaria.linita,NA,Lobaria linita,99002171,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,LobariaLinita
Lobaria.pulmonaria,NA,Lobaria pulmonaria,99002373,37,26,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,LobariaPulmonaria
Lobaria.scrobiculata,NA,Lobaria scrobiculata,99002933,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,LobariaScrobiculata
Lobothallia.alphoplaca,NA,Lobothallia alphoplaca,99002531,24,17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,LobothalliaAlphoplaca
Melanelia.disjuncta,NA,Melanelia disjuncta,99002935,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,MelaneliaDisjuncta
Melanelia.hepatizon,NA,Melanelia hepatizon,99002532,10,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelaneliaHepatizon
Melanelia.panniformis,NA,Melanelia panniformis,99002533,6,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelaneliaPanniformis
Melanelia.sorediata,NA,Melanelia sorediata,99002936,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelaneliaSorediata
Melanelia.stygia,NA,Melanelia stygia,99002534,9,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelaneliaStygia
Melanelia.tominii,NA,Melanelia tominii,99002937,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,MelaneliaTominii
Melanelixia.albertana,NA,Melanelixia albertana,99000233,276,179,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,MelanelixiaAlbertana
Melanelixia.fuliginosa,NA,Melanelixia fuliginosa,99002938,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,MelanelixiaFuliginosa
Melanelixia.subaurifera,NA,Melanelixia subaurifera,91344053,1515,693,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,MelanelixiaSubargentifera
Melanohalea.cf.exasperata,NA,Melanohalea cf. exasperata,94022594,29,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelanohaleaExasperata
Melanohalea.cf.subolivacea,NA,Melanohalea cf. subolivacea,91344057,28,23,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelanohaleaSubolivacea
Melanohalea.elegantula,NA,Melanohalea elegantula,94022592,36,31,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,MelanohaleaElegantula
Melanohalea.exasperatula,NA,Melanohalea exasperatula,94022596,719,415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,MelanohaleaExasperatula
Melanohalea.infumata,NA,Melanohalea infumata,99002939,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelanohaleaInfumata
Melanohalea.multispora,NA,Melanohalea multispora,99002535,6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,MelanohaleaMultispora
Melanohalea.olivaceoides,NA,Melanohalea olivaceoides,99002940,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,MelanohaleaOlivaceoides
Melanohalea.septentrionalis.olivacea,NA,Melanohalea septentrionalis/olivacea,99000227,1074,522,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,MelanohaleaOlivacea
Melanohalea.trabeculata,NA,Melanohalea trabeculata,99002536,278,180,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,MelanohaleaTrabeculata
Microcalicium.disseminatum,NA,Microcalicium disseminatum,99003159,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,MicrocaliciumDisseminatum
Mycocalicium.subtile,NA,Mycocalicium subtile,99002941,19,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,MycocaliciumSubtile
Nephroma.arcticum,NA,Nephroma arcticum,99002374,12,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NephromaArcticum
Nephroma.bellum,NA,Nephroma bellum,99002375,148,98,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NephromaBellum
Nephroma.expallidum,NA,Nephroma expallidum,99002942,7,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NephromaExpallidum
Nephroma.parile,NA,Nephroma parile,99002377,9,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NephromaParile
Nephroma.resupinatum,NA,Nephroma resupinatum,99002378,99,65,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NephromaResupinatum
Nodobryoria.abbreviata,NA,Nodobryoria abbreviata,98298421,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NodobryoriaAbbreviata
Nodobryoria.oregana,NA,Nodobryoria oregana,93262046,15,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NodobryoriaOregana
Parmelia.fraudans,NA,Parmelia fraudans,99002944,22,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ParmeliaFraudans
Parmelia.hygrophila,NA,Parmelia hygrophila,99002945,5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ParmeliaHygrophila
Parmelia.saxatilis,NA,Parmelia saxatilis,99002252,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ParmeliaSaxatilis
Parmelia.sulcata,NA,Parmelia sulcata,99002943,2840,1061,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,ParmeliaBarrenoae
Parmeliopsis.ambigua,NA,Parmeliopsis ambigua,99002249,1648,688,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,ParmeliopsisAmbigua
Parmeliopsis.hyperopta,NA,Parmeliopsis hyperopta,99002250,1140,506,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,ParmeliopsisHyperopta
Peltigera.aphthosa,NA,Peltigera aphthosa,99002172,603,359,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,PeltigeraAphthosa
